path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade
lorong_8_toa_payoh,TPYLor82Q25,376.0,30934.571,35545.743,3.151,3.151,3.138,-0.266,1.0
lorong_8_toa_payoh,TPYLor82Q25,378.0,30934.469,35547.74,5.991,3.145,3.138,-0.266,1.0
lorong_8_toa_payoh,TPYLor82Q25,380.0,30934.373,35549.738,3.138,3.138,3.138,-0.275,1.0
lorong_8_toa_payoh,TPYLor82Q25,382.0,30934.296,35551.737,3.08,3.08,3.091,-0.067,1.0
lorong_8_toa_payoh,TPYLor82Q25,384.0,30934.219,35553.735,3.086,3.086,3.091,-0.039,1.0
lorong_8_toa_payoh,TPYLor82Q25,386.0,30934.142,35555.734,3.091,3.091,3.091,0.214,1.0
lorong_8_toa_payoh,TPYLor82Q25,388.0,30934.065,35557.732,3.091,3.091,3.091,0.486,1.0
lorong_8_toa_payoh,TPYLor82Q25,390.0,30934.007,35559.73,5.152,3.118,3.118,0.578,1.0
lorong_8_toa_payoh,TPYLor82Q25,392.0,30934.123,35561.727,3.144,3.144,3.12,0.58,1.0
lorong_8_toa_payoh,TPYLor82Q25,394.0,30934.238,35563.724,3.12,3.12,3.132,,
lorong_8_toa_payoh,TPYLor82Q25,396.0,30934.353,35565.721,3.132,3.132,3.144,0.182,1.0
lorong_8_toa_payoh,TPYLor82Q25,398.0,30934.468,35567.717,4.129,3.144,3.144,0.193,1.0
lorong_8_toa_payoh,TPYLor82Q25,400.0,30934.58,35569.714,3.222,3.156,3.156,0.154,1.0
lorong_8_toa_payoh,TPYLor82Q25,402.0,30934.686,35571.711,3.168,3.168,3.168,0.085,1.0
lorong_8_toa_payoh,TPYLor82Q25,404.0,30934.792,35573.708,3.18,3.18,3.172,0.073,1.0
lorong_8_toa_payoh,TPYLor82Q25,406.0,30934.898,35575.706,13.726,3.176,3.176,0.053,1.0
lorong_8_toa_payoh,TPYLor82Q25,408.0,30935.004,35577.703,3.172,3.172,3.176,0.053,1.0
lorong_8_toa_payoh,TPYLor82Q25,410.0,30935.11,35579.7,3.294,3.294,3.176,0.053,1.0
lorong_8_toa_payoh,TPYLor82Q25,412.0,30935.211,35581.697,3.125,3.125,3.294,0.153,1.0
lorong_8_toa_payoh,TPYLor82Q25,414.0,30935.31,35583.695,3.311,3.311,3.311,0.172,1.0
lorong_8_toa_payoh,TPYLor82Q25,416.0,30935.409,35585.693,7.2,3.434,3.434,0.172,1.0
lorong_8_toa_payoh,TPYLor82Q25,418.0,30935.508,35587.69,3.556,3.556,3.556,0.177,1.0
lorong_8_toa_payoh,TPYLor82Q25,420.0,30935.606,35589.688,3.701,3.701,3.556,0.132,1.0
lorong_8_toa_payoh,TPYLor82Q25,422.0,30935.587,35591.688,3.779,3.779,3.556,0.247,1.0
lorong_8_toa_payoh,TPYLor82Q25,424.0,30935.568,35593.687,3.889,3.524,3.524,0.371,1.0
lorong_8_toa_payoh,TPYLor82Q25,426.0,30935.549,35595.687,3.27,3.27,3.272,,
lorong_8_toa_payoh,TPYLor82Q25,428.0,30935.531,35597.687,3.272,3.272,3.27,,
lorong_8_toa_payoh,TPYLor82Q25,430.0,30935.512,35599.687,9.09,3.231,3.231,,
lorong_8_toa_payoh,TPYLor82Q25,432.0,30935.464,35601.687,3.189,3.189,3.189,0.493,1.0
lorong_8_toa_payoh,TPYLor82Q25,434.0,30935.414,35603.686,3.182,3.182,3.182,,
lorong_8_toa_payoh,TPYLor82Q25,436.0,30935.364,35605.685,3.17,3.17,3.17,0.154,1.0
lorong_8_toa_payoh,TPYLor82Q25,438.0,30935.314,35607.685,3.165,3.165,3.17,0.151,1.0
lorong_8_toa_payoh,TPYLor82Q25,440.0,30935.263,35609.684,3.168,3.168,3.17,0.078,1.0
lorong_8_toa_payoh,TPYLor82Q25,442.0,30935.159,35611.681,8.334,3.183,3.183,-0.12,1.0
lorong_8_toa_payoh,TPYLor82Q25,444.0,30935.042,35613.678,3.198,3.198,3.194,-0.14,1.0
lorong_8_toa_payoh,TPYLor82Q25,446.0,30934.925,35615.674,3.197,3.197,3.194,-0.325,1.0
lorong_8_toa_payoh,TPYLor82Q25,448.0,30934.808,35617.671,3.194,3.194,3.197,-0.538,1.0
lorong_8_toa_payoh,TPYLor82Q25,450.0,30934.691,35619.668,3.186,3.186,3.197,-0.529,1.0
lorong_8_toa_payoh,TPYLor82Q25,452.0,30934.55,35621.662,3.268,3.268,3.268,-0.473,1.0
lorong_8_toa_payoh,TPYLor82Q25,454.0,30934.367,35623.654,3.355,3.355,3.355,,
lorong_8_toa_payoh,TPYLor82Q25,456.0,30934.183,35625.645,3.952,3.398,3.398,0.073,1.0
lorong_8_toa_payoh,TPYLor82Q25,458.0,30933.999,35627.637,4.052,3.441,3.441,0.166,1.0
lorong_8_toa_payoh,TPYLor82Q25,460.0,30933.792,35629.626,3.484,3.484,3.464,0.231,1.0
lorong_8_toa_payoh,TPYLor82Q25,462.0,30933.515,35631.606,3.659,3.659,3.464,0.3,1.0
lorong_8_toa_payoh,TPYLor82Q25,464.0,30933.237,35633.587,3.725,3.464,3.464,0.273,1.0
lorong_8_toa_payoh,TPYLor82Q25,466.0,30932.96,35635.568,3.268,3.268,3.268,0.293,1.0
lorong_8_toa_payoh,TPYLor82Q25,468.0,30932.682,35637.548,3.209,3.209,3.266,0.293,1.0
lorong_8_toa_payoh,TPYLor82Q25,470.0,30932.405,35639.529,3.223,3.223,3.223,0.315,1.0
lorong_8_toa_payoh,TPYLor82Q25,472.0,30932.056,35641.498,3.266,3.266,3.223,0.352,1.0
